index,source,target,edge
3692,critical wave film responses,new wave film makers,been positive
3693,commercial  success,beautiful  laundrette,achieved with
3694,annual  investment,1989,was
3695,other working titles films,bean,included
3697,it,critical  acclaim,received worldwide
3698,number,other  organisations,responded
3699,british  directors,recent  years,are
3700,film industry,british  economy,remains
3701,biggest  star,silent  era,was
3702,it,score part effects,was
3703,john bip,british picture 1933,became
3704,1927 films act,up  renewal,was
3705,new  venture,initially denham studios,based at
3706,alberto cavalcanti,jennings,rotha
3707,portmanteau horror film,dead  night,is
3708,attitude,style,means
3709,style,attitude,means
3710,anderson,commercial film industry,was dismissive
3711,critical wave film responses,new wave film makers,been positive
3712,commercial  success,beautiful  laundrette,achieved with
3713,annual  investment,1989,was
3714,other working titles films,bean,included
3716,it,critical  acclaim,received worldwide
3717,number,other  organisations,responded
3718,british  directors,recent  years,are
3719,film industry,british  economy,remains
3720,she,him,travels to
3721,who,plan,dewey
3722,bourne,enough  smith,evades
3723,bourne,suite,thwarts
3725,then  i,then  which,'s
3726,instead bourne legacy,.,released in
3727,it,1,had
3728,film,$ 66.3 million,ended
3729,vishal  bhardwaj,songs,was
3730,principal  photography,august,began by
3731,film score,bijibal,composed by bijibal
3732,film,19  january,released on
3733,marketing budgets,half production budget,tend
3734,publicity,generally  distributor,handled by
3735,he,police,arrested
3736,arjun,5 years imprisonment,sentenced to
3737,she,house,leaves
3738,zoya,supermarket,shopping in
3739,she,son,hugs
3740,album,original  songs,consists of
3741,music,positive  reviews,received
3742,tu hai,song,seems
3743,it,₹ 650 million,was
3744,lucid,canadian sean garrity,is
3745,nandi awards,four  categories,presented in
3746,nandi awards,four  categories,presented in
3747,she,despair,flees
3748,it,comedy arts festival,opened
3749,waitress,made quality star wattage,called
3750,stage,musical  film,written
3751,movie,paper film,shot on
3752,chronological  improvements,medium,listed
3753,animated  cartoon,1906,produced in
3754,wide screen formats,first  1950s,experimented with
3755,most  movies,1970s,were
3756,70 mm formats,popularity,imax
3757,black  movies,digital  tinting,colorized
3758,kinemacolor,1908,introduced
3759,kodachrome,1935,introduced in
3760,effort,little  success,met with
3761,he,highly cinema world,was
3762,practice,deep  focus,known as deep
3763,today  trend,shallow  focus,is for
3764,different  ratios,aesthetic  effects,provide different
3765,this,cropped  1.37,is
3766,invention,cinematic  world,is
3767,it,30  second,is
3768,it,25  second,is
3769,speed,presentation,vary
3770,then  he,balloon  like,leaps around
3771,cinematography,photography,is
3772,movie,paper film,shot on
3773,chronological  improvements,medium,listed
3774,animated  cartoon,1906,produced in
3775,wide screen formats,first  1950s,experimented with
3776,most  movies,1970s,were
3777,70 mm formats,popularity,imax
3778,black  movies,digital  tinting,colorized
3779,kinemacolor,1908,introduced
3780,kodachrome,1935,introduced in
3781,effort,little  success,met with
3782,he,highly cinema world,was
3783,practice,deep  focus,known as deep
3784,today  trend,shallow  focus,is for
3785,different  ratios,aesthetic  effects,provide different
3786,this,cropped  1.37,is
3787,invention,cinematic  world,is
3788,it,30  second,is
3789,it,25  second,is
3790,speed,presentation,vary
3791,then  he,balloon  like,leaps around
3792,cinematography,photography,is
3793,ski films,one  techniques,present
3794,ski,mountain film switzerland,held in
3795,picture,light  source,include
3797,sasaki,3 color lcd tv,fabricated
3798,working  title,ramappa poojary,was
3799,fukunaga,replacement,announced as
3800,dali benssalah,undisclosed  roles,cast in undisclosed
3801,favourite christopher nolan,himself,ruled
3802,spectre,final daniel bond,speculated
3803,malek,further  villain,announced as
3804,fukunaga,replacement,announced as
3805,dali benssalah,undisclosed  roles,cast in undisclosed
3806,favourite christopher nolan,himself,ruled
3807,spectre,final daniel bond,speculated
3808,malek,further  villain,announced as
3809,rookwood,disguise,discovers
3810,ignorance,book,is
3811,name,intentionally adolf hitler,is
3812,it,also news corp,been
3813,closest  rival,"$  15,604,892",took
3814,ebert,thumbs  rating,gave
3815,gordon,minor  adaptations,changed
3816,first,rolling  stones,was
3817,second,special ethan bkab,was
3818,final  song,spiritualized,was out
3819,reviewer danielle solzman,science,writes
3820,artillery fire,eventually  party,breaks
3821,two,chancellery garden,cremated in
3822,minister joseph goebbels,chancellorship,assumes
3823,he,eventually  project,agreed
3824,film,13.5 million 13.5 budget,produced on
3825,it,u.s,premiered in
3826,it,2005  bbc,won
3827,film,7  september,released on
3828,second  song,21 raat august,released on
3829,film,poor  reviews,received
3830,it,mixed  reviews,opened to mixed
3831,telugu anchor chitralekha,supporting  role,selected for
3832,he,narrative skill,was impressed
3833,climax,october,shot at
3834,soundtrack,aditya music,marketed by
3835,cinegoer.net,sharma,wrote
3836,entire  compilation,unique  sound,is
3837,audio,doubt chart busters,become
3838,however  absence,bhaskar  sharma,was conspicuous
3839,cast  present,double platinum disc shields,presented with
3840,climax,film,appears little
3841,movie,huge  expectations,live
3842,things,well  expectations,gel
3843,it,mixed  reviews,opened to mixed
3844,telugu anchor chitralekha,supporting  role,selected for
3845,he,narrative skill,was impressed
3846,climax,october,shot at
3847,soundtrack,aditya music,marketed by
3848,cinegoer.net,sharma,wrote
3849,entire  compilation,unique  sound,is
3850,audio,doubt chart busters,become
3851,however  absence,bhaskar  sharma,was conspicuous
3852,cast  present,double platinum disc shields,presented with
3853,climax,film,appears little
3854,movie,huge  expectations,live
3855,things,well  expectations,gel
3856,poitín,entirely feature irish,was
3857,poitín,16 mm film,shot on
3858,animation,large  frames,consists of
3859,film,public  donations,funded by public
3860,several  celebrities,also jonah hill,donated
3861,imdb,"3,000  producers",reached
3862,entire  project,then  imdb,removed from
3863,giovanni signs wife,distance,books
3864,lidia,while,leaves
3865,giovanni,offer,is reluctant
3866,giovanni,slightly  behavior,seems
3867,i,you,love
3868,he,her,love
3869,even  boredom,him,made interesting
3870,giovanni signs wife,distance,books
3871,lidia,while,leaves
3872,giovanni,offer,is reluctant
3873,giovanni,slightly  behavior,seems
3874,i,you,love
3875,he,her,love
3876,even  boredom,him,made interesting
3877,jal,unique action climax,is
3878,this,composing bollywood film,is
3879,entire  song,day,created in
3880,background score,sonu nigam,is by
3882,fuck,times  film,used
3883,scholarly  analysis,publisher reinhold aman,provided by
3884,film,author hunter,features
3885,thirty five media commentators,film,interviewed for
3886,it,washington  d.c,had
3887,fuck,mixed  reviews,received mixed
3888,a. o. scott,new york times,wrote in
3889,fuck,several university courses,been
3890,teacher,decision,appeal
3891,2  conclusion,epic action s.,is
3892,soundtrack,m. m. keeravani,composed by
3893,meanwhile  kuntala,pindaris,attacked by
3894,devasena,inaction,speaks
3895,series,shobu yarlagadda,produced by
3898,film,also  abbreviation,known by
3899,actor nassar,supporting  role,selected
3900,it,new  me,be
3901,video,vfx,lacked
3902,he,amarendra,calls
3903,malayalam version,24  april,released on
3904,film,british film institute,screened at
3905,it,international film festival,premiered at
3906,it,original  languages,released in
3907,however  rumours,great india films,refuted by great
3908,tickets,2  may,sold
3909,later  tickets,first  week,sold
3910,2  conclusion,10 billion 10 nett,crossed
3911,magnum indian mythos,magnum  that,'s
3912,prabhas,father,is terrific
3913,this,indian  cinema,is new
3914,indian  that,indian  film,is
3915,frame,meticulously ss rajamouli,captured by
3916,this,visual  effects,is
3917,daughter alia bhatt,film,called
3918,baahubali,that,stands for
3919,worldwide  it,searched  2017,was
3920,2  conclusion,epic action s.,is
3921,soundtrack,m. m. keeravani,composed by
3922,meanwhile  kuntala,pindaris,attacked by
3923,devasena,inaction,speaks
3924,series,shobu yarlagadda,produced by
3927,film,also  abbreviation,known by
3928,actor nassar,supporting  role,selected
3929,it,new  me,be
3930,video,vfx,lacked
3931,he,amarendra,calls
3932,malayalam version,24  april,released on
3933,film,british film institute,screened at
3934,it,international film festival,premiered at
3935,it,original  languages,released in
3936,however  rumours,great india films,refuted by great
3937,tickets,2  may,sold
3938,later  tickets,first  week,sold
3939,2  conclusion,10 billion 10 nett,crossed
3940,magnum indian mythos,magnum  that,'s
3941,prabhas,father,is terrific
3942,this,indian  cinema,is new
3943,indian  that,indian  film,is
3944,frame,meticulously ss rajamouli,captured by
3945,this,visual  effects,is
3946,daughter alia bhatt,film,called
3947,baahubali,that,stands for
3948,worldwide  it,searched  2017,was
3949,basant,indian amiya chakrabarty,is
3950,film,mumtaz shanti,starred
3951,yaman,action jeeva shankar,is
3952,score,vijay antony,composed by
3953,films,actually  story,have
3954,series,paramount  pictures,distributed by paramount
3955,prime  directive,working  title,used as
3956,this,comic  book,was
3957,writing trio,$ 8 million,paid
3958,2010  script,march,said
3959,shia labeouf,future  installments,return in
3960,j. miller,cast,joined
3961,two  who,alternate  modes,revealed
3962,room members,christina hodson,include
3963,lindsey beer,also geneva robertson duties,brought
3964,it,december,released on
3965,last  knight,june,released
3966,this,comic  books,includes comic
3967,characterization,autobot twins,criticized
3969,movie,1961 movie lover,is
3970,this,foreign kannada languages,was
3972,year  who,warner,geffen
3973,schumacher,lauryn hill,planned
3974,dvd version,two  editions,issued in
3975,two disc version,also length production documentary,included
3976,dvd versions,two disc formats,issued in
3977,dreamgirls,high home entertainment format,was
3978,simple consensus characters,real  feats,states
3979,book,october,released on
3980,scrapbook,musical  march,released on
3981,jobs,2013 sundance film festival,chosen
3982,later  jobs,back los altos,is
3984,film,forward  1996,jumps
3985,it,also sister patricia,observed by
3987,he,certainly  look,has
3988,he,better  producer,'s
3989,historical  that,historical  inaccuracies,are
3990,you,both,do
3991,i,jobs script,turned
3992,i,great  movie,hoped for
3993,wozniak,2015 steve jobs film,was
3994,he,motorcycle dude,'s like
3995,it,just  us,cracked
3996,i,guy,liked
3997,he,leathers,wearing
3998,chris espinosa,twitter,stated on
3999,it,men film series,intended
4000,we,something,trying
4001,filming,september,ended on
4002,it,originally  april,going
4003,next  one,different horror movie,be
4004,theatrical  trailers,two  minutes,mandates
4005,internet home trailers,time restrictions,have
4006,only  that,.,films
4007,date,this,affected by
4009,who,ratings,exhibitors
4010,both,subsidiaries,were
4011,first  film,rating,was
4012,new critic pauline kael,criticism,echoed
4013,how  anything,this,be worse
4014,it,r,got
4015,movie,then  miramax,released
4016,score,brian eno,composed by
4017,however  jack,accidentally  friend,stumbles across
4018,i,here  moment,was
4019,i,long  life,wish
4020,he,.,become
4021,official  trailer,television series entertainment,released
4022,it,rated peter date,is
4023,genre,sociocultural  context,defined by
4024,francis ford godfather,1972,released
4025,it,best  picture,won best
4026,some,these,acclaimed
4027,film,based dimeo crime family,center around
4029,it,grossing box office,was
4030,later  buslov,sequel bimmer,released
4031,1940  film,indian movie world,is
4032,film,y.,directed by
4033,film,bommireddy narasimha reddy,directed by
4034,successful telugu films,largely bengali cinema,remade by
4035,nandi,bull,means
4036,2006 film bommarillu,72  prints,released
4037,1968 cult classic sudigundalu,tashkent,screened at
4039,p. patnaik,current cine music association,is
4040,1940  film,indian movie world,is
4041,film,y.,directed by
4042,film,bommireddy narasimha reddy,directed by
4043,successful telugu films,largely bengali cinema,remade by
4044,nandi,bull,means
4045,2006 film bommarillu,72  prints,released
4046,1968 cult classic sudigundalu,tashkent,screened at
4048,p. patnaik,current cine music association,is
4049,it,chashi nazrul islam,directed by
4050,film,impress telefilm ltd,produced
4051,it,chashi nazrul islam,stars
4052,two certificate awards,national film awards,discontinued from 15th
4053,award,rajat kamal,includes
4054,annabelle  creation,positive  reviews,met with
4055,producer peter writers,producer peter safran,allied with
4056,wan,peter project,co
4057,film,april,released on
4058,wan,project,set
4059,demonic  face,back  her,turns
4060,what,mom,'s wrong
4061,something,mom,happening to
4062,daughter,health,starts
4063,short  film,september,released on
4064,innocent  souls,short alejandro lópez,is
4065,film,also alejandro lópez,written
4066,innocent  souls,colombian  competition,was
4067,short  film,november,released on
4068,owners,unspecified  damages,seeking unspecified
4069,annabelle  creation,positive  reviews,met with
4070,producer peter writers,producer peter safran,allied with
4071,wan,peter project,co
4072,film,april,released on
4073,wan,project,set
4074,demonic  face,back  her,turns
4075,what,mom,'s wrong
4076,something,mom,happening to
4077,daughter,health,starts
4078,short  film,september,released on
4079,innocent  souls,short alejandro lópez,is
4080,film,also alejandro lópez,written
4081,innocent  souls,colombian  competition,was
4082,short  film,november,released on
4083,owners,unspecified  damages,seeking unspecified
4084,verna,happy  couple,is
4085,sara who,sara friend,talks to
4086,reason,rape,found
4087,they,pressure,decide
4088,mom,america,flees to
4089,sara,this,becomes angry
4090,sara,residence,sneak into
4091,it,women,is
4092,lyrics,shoaib mansoor,written by
4094,product,however  it,fell short
4095,nickelodeon movies,theatrical nickelodeon tv channel,is
4096,films,division paramount pictures,are
4097,nickelodeon movies,then  1996,founded in
4098,it,first academy award,is
4099,film,positive  reviews,received positive
4100,it,$ 60.7 million,grossed
4101,rugrats,later  june,go wild
4102,film,only pg rating,is
4103,one,favorite author daniel candidates,was
4104,2002 barry sonnenfeld,june,hired
4105,film,december,released on
4106,it,theatrical documentary release,became
4107,sequel,film,considered
4108,i,big  knickers,wearing
4109,film,positive  reviews,met with positive
4110,it,dreamworks,distributed by
4111,however  it,still  paramount,distributed under
4112,film,company blind gk films,produced by
4113,it,animated  verbinski,is
4114,animated  film,3d,was
4115,fuller  form,walker,produce alongside
4116,it,august,released on
4117,film,negative  reviews,met with negative
4118,it,positive  reviews,received positive
4119,film,november,released on
4120,it,january,scheduled
4121,morning uncle hat,nephew,found by
4122,principal  photography,13  september,began on
4123,nick urata,soundtrack,composed
4124,music,nick urata,composed by
4125,ilfochrome  materials,dye destruction process,use
4126,different  techniques,enlargement process,used during
4127,two  examples,enlargement techniques,dodging
4128,sheet,special  requirements,developed
4129,film,hand,washed
4130,ilfochrome  materials,dye destruction process,use
4131,different  techniques,enlargement process,used during
4132,two  examples,enlargement techniques,dodging
4133,sheet,special  requirements,developed
4134,film,hand,washed
4135,matchless,italian alberto lattuada,is
4136,it,spy film genre,parodies
4137,robin hood,1973 box office success,released on
4138,meanwhile prince john,assistant sir nottingham,arrive in
4139,children,inside maid marian,sneak
4140,we,kid  audience,have
4141,film,march,released on
4142,oo,lally cd collection,appear on
4143,song love,2009 feature film .,featured in
4144,company,theatrical  premieres,distributes
4145,human  harvest,originally  mandarin,produced
4146,film,many science fiction films,influenced many
4147,sequel,2049 blade october,released in
4148,where  rachael,apartment,deckard
4149,roy kisses,then  him,kills
4150,deckard,apartment block,leave
4151,film,dramatic  levels,operates on multiple
4152,inherent  ambiguity,multiple  interpretations,permitted multiple
4153,william sanderson,j.,cast as
4154,joe pantoliano,earlier  role,considered for
4155,i,it,recognized
4156,they,it,caught
4157,i,ridley,tangled with
4158,now  i,narration,was
4159,he,lot,knows
4160,i,new  block,was
4161,we,good  movie,made
4162,backlot,2019 angeles street sets,housed
4163,other  locations,ennis brown ennis house,included
4164,he,that,decision
4165,voight kampff machine,fictional interrogation novel,is
4166,blade runner,different  tool,uses
4167,cameras,frequently  computers,were
4168,date,ladd jr,chosen by
4169,extra  which,commercial  success,terrestrial
4170,several  versions,blade runner,shown
4171,only  scott,artistic  control,is
4172,initial  reactions,film critics,were mixed
4173,blade runner,very cyberpunk movement,been
4174,film,several  documentaries,been
4175,these,night blade runner,are blade
4176,film,many science fiction films,influenced many
4177,sequel,2049 blade october,released in
4178,where  rachael,apartment,deckard
4179,roy kisses,then  him,kills
4180,deckard,apartment block,leave
4181,film,dramatic  levels,operates on multiple
4182,inherent  ambiguity,multiple  interpretations,permitted multiple
4183,william sanderson,j.,cast as
4184,joe pantoliano,earlier  role,considered for
4185,i,it,recognized
4186,they,it,caught
4187,i,ridley,tangled with
4188,now  i,narration,was
4189,he,lot,knows
4190,i,new  block,was
4191,we,good  movie,made
4192,backlot,2019 angeles street sets,housed
4193,other  locations,ennis brown ennis house,included
4194,he,that,decision
4195,voight kampff machine,fictional interrogation novel,is
4196,blade runner,different  tool,uses
4197,cameras,frequently  computers,were
4198,date,ladd jr,chosen by
4199,extra  which,commercial  success,terrestrial
4200,several  versions,blade runner,shown
4201,only  scott,artistic  control,is
4202,initial  reactions,film critics,were mixed
4203,blade runner,very cyberpunk movement,been
4204,film,several  documentaries,been
4205,these,night blade runner,are blade
4206,film,tamil  film,was
4207,barood,v prasad,is
4208,honest police man,corrupt  politician,bribed by
4210,film,chinese streaming platforms,watched more
4211,methods,early morning workouts,seem harsh
4212,he,younger  roles,doing younger
4213,it,khan,produced by
4214,film,perception,change
4215,mukesh  chhabra,casting  dangal,was
4216,mallika sherawat,role,auditioned for
4217,natural  light,majorly  film,employed in
4218,music,pritam,composed by
4219,it,lifetime,is
4220,dangal,grossing sports 2017,is
4221,footfalls,domestic indian box office,was
4222,this,times box office history,was
4223,dangal,well  china,performed
4224,film,online streaming platforms,released on several
4225,we,risk,want
4226,so  dangal,entry,sent
4227,we,aamir khan,love
4228,they,great  job,did
4229,unfortunately  they,entry,send
4231,hackett,ubs  executives,agrees
4232,overlapping  audio,unintelligible  cacophony,creates
4233,american  people,angry  shows,are angry
4234,finch,considerable  prominence,responded
4235,we,naturalistic  look,started with
4236,camera setups,still  pictures,are static
4237,camera,also  television,become
4238,same camera angle,instances,employed in
4239,song,album erratic cinematic,features on
4240,statuette,widow,collected by
4241,sequel,2 spider may,released on
4242,connors,superior,pressed by
4243,ben,sidewalk,escapes
4244,mask spider man,mask  stacy,discovers
4246,e,casting,said of
4248,i,speculation,invite
4249,2 spider character,amazing spider man,revealed
4250,kari coleman,stacy family,portray
4252,john malkovich,next  villain,wanted
4253,particularly  he,particularly  emma,explained
4254,so  that,it,was
4255,three  films,good  reason,beloved for good
4256,i,sam,signing on
4257,it,different  characters,'s
4258,least  bell,ehrenreich screen tests,had
4259,shortlist,then dianna agron,reported
4260,embeth davidtz,then  nicholson,replaced
4261,that,design,was
4262,film,wireless beamsplitter mirror rig,reported
4263,james horner,film,scored
4264,webb,musical  cue,described
4265,hardee,film,sponsor
4266,mobile  phones,other sony divisions,came from other
4267,other  placements,bing search engine,included
4268,special  screening,extended  trailer,included
4269,missing  items,jansport backpack,included
4270,site,made spider man scenes,hosted
4271,gym,peter school,funded by
4272,viral  website,class,discovered
4273,viral  site,oscorp industries,was available
4274,cancer,greatest  villains,is
4275,movie,30  countries,ranked
4276,china,$ 48.8 million,is
4277,bob mondello,npr,said
4279,comic  character,comic  books,is
4280,nerds,world,running
4281,he,arm,has
4282,hat,whole spider man idea,'s
4283,toronto international film festival,17  september,held from
4284,feature 147,feature films,claimed
4285,final  awards,17  september,announced on
4286,110,still film photography,is
4287,110,126 film format,is
4288,lomography,110 film 2011,re-
4289,latter,special pocket carousel projectors,requires special
4290,speed,110  cameras,supported by most
4291,film,anya taylor joy,stars
4292,costumes,wool,made with
4293,muir,larger costume budget,lobbied for
4294,extras,outtakes,include
4295,he,cheap  tricks,need cheap
4296,eggers,merely  us,directs
4297,author matthew bannister,him,named
4298,japanese developer hideo kojima,first video games,considered
4299,author matthew bannister,him,named
4300,japanese developer hideo kojima,first video games,considered
4301,biology teacher devki,students,is vivacious
4302,inspector matthew,quickly  attackers,rounds
4303,body samples,too  attackers,recovered
4305,climactic  schedule,climactic  environment,wrapped
4306,music,a. r. rahman,composed by
4307,julieta,$ 22 million,grossed
4308,julieta,loss,racked by
4309,attempts,antía,are unsuccessful
4310,julieta,20th feature film,marked
4311,i,something,wanted
4312,filming,7  august,completed on
4313,confidencial,negatively  film,responded
4314,le parisien,five star rating,gave
4315,museum collection,"37,000 film titles",includes
4316,predecessor,historical film 1946,was
